metro_distance,bus_distance,university_distance
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
1.9053,7.7315,11.9369
0.9135,4.5874,10.6459
0.9135,4.5874,10.6459
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.6425,7.5793,1.6453
1.2179,6.5052,8.4484
1.2179,6.5052,8.4484
1.2179,6.5052,8.4484
1.2179,6.5052,8.4484
1.2179,6.5052,8.4484
1.2179,6.5052,8.4484
1.2179,6.5052,8.4484
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.935,2.1943,7.7938
1.289,12.202,9.8538
1.289,12.202,9.8538
1.0179,4.6015,10.5721
1.0179,4.6015,10.5721
1.0179,4.6015,10.5721
1.0179,4.6015,10.5721
1.0179,4.6015,10.5721
1.0179,4.6015,10.5721
1.0179,4.6015,10.5721
5.7392,11.6304,17.6721
5.7392,11.6304,17.6721
0.5471,13.3052,10.3392
0.5471,13.3052,10.3392
0.561,9.5465,3.5837
0.561,9.5465,3.5837
0.561,9.5465,3.5837
0.561,9.5465,3.5837
0.561,9.5465,3.5837
