Name,latitude,longitude
Aeroport (Moscow Metro),55.8003,37.5329
Akademicheskaya (Kaluzhsko–Rizhskaya line),55.6877,37.5733
Aleksandrovsky Sad (Moscow Metro),55.7525,37.6085
Alekseyevskaya (Moscow Metro),55.8088,37.639
Alma-Atinskaya (Moscow Metro),55.6326,37.766
Altufyevo (Moscow Metro),55.898,37.587
Andronovka (Moscow Central Circle),55.7473,37.738
Annino (Moscow Metro),55.5828,37.5966
Arbatskaya (Arbatsko–Pokrovskaya line),55.7522,37.6061
Arbatskaya (Filyovskaya line),55.7518,37.6007
Aviamotornaya (Bolshaya Koltsevaya line),55.753055,37.718611
Aviamotornaya (Kalininsko–Solntsevskaya line),55.7524,37.7191
Avtozavodskaya (Moscow Central Circle),55.7066,37.6636
Avtozavodskaya (Zamoskvoretskaya line),55.7074,37.6576
Babushkinskaya,55.8694,37.6644
Bagrationovskaya,55.7438,37.4977
Baltiyskaya (Moscow Central Circle),55.8259,37.4965
Barrikadnaya,55.7612,37.5795
Baumanskaya (Moscow Metro),55.773,37.6806
Begovaya (Moscow Metro),55.7738,37.5468
Belokamennaya (Moscow Central Circle),55.8298,37.7018
Belomorskaya (Moscow Metro),55.865833,37.476388
Belorusskaya (Koltsevaya line),55.7764,37.5844
Belorusskaya (Zamoskvoretskaya line),55.7767,37.5835
Belyayevo (Moscow Metro),55.6428,37.5257
Bibirevo (Moscow Metro),55.8838,37.6034
Biblioteka Imeni Lenina,55.7512,37.61
Bittsevsky Park (Moscow Metro),55.6004,37.5562
Borisovo (Moscow Metro),55.6334,37.7436
Borovitskaya (Moscow Metro),55.7511,37.6072
Borovskoye Shosse,55.647672,37.370186
Botanichesky Sad (Kaluzhsko–Rizhskaya line),55.8449,37.6383
Botanichesky Sad (Moscow Central Circle),55.8456,37.6383
Bratislavskaya (Moscow Metro),55.6597,37.7505
Bulvar Admirala Ushakova,55.5455,37.543
Bulvar Dmitriya Donskogo,55.5693,37.5769
Bulvar Rokossovskogo (Moscow Central Circle),55.8172,37.7373
Bulvar Rokossovskogo (Sokolnicheskaya line),55.8148,37.7342
Buninskaya Alleya,55.538,37.5158
Butyrskaya (Moscow Metro),55.813577,37.602328
Chekhovskaya,55.7644,37.6097
Cherkizovskaya,55.8038,37.7448
Chertanovskaya,55.6405,37.6067
Chistye Prudy (Moscow Metro),55.7657,37.6388
Chkalovskaya (Moscow Metro),55.7565,37.6573
Delovoy Tsentr (Bolshaya Koltsevaya line),55.7489,37.5391
Delovoy Tsentr (Kalininsko–Solntsevskaya line),55.7491,37.5395
Delovoy Tsentr (Moscow Central Circle),55.7476,37.532
Dinamo (Moscow Metro),55.7897,37.558
Dmitrovskaya (Moscow Metro),55.8069,37.5817
Dobryninskaya,55.7291,37.6243
Domodedovskaya,55.6108,37.7186
Dostoevskaya (Moscow Metro),55.7816,37.6151
Dubrovka (Lyublinsko–Dmitrovskaya line),55.7186,37.676
Dubrovka (Moscow Central Circle),55.7127,37.6781
Elektrozavodskaya (Arbatsko–Pokrovskaya line),55.7817,37.7037
Elektrozavodskaya (Bolshaya Koltsevaya line),55.780833,37.702777
Filatov Lug (Moscow Metro),55.6013,37.4077
Fili (Moscow Metro),55.746,37.515
Filyovsky Park (Moscow Metro),55.7396,37.4833
Fonvizinskaya (Moscow Metro),55.821512,37.589967
Frunzenskaya (Moscow Metro),55.7267,37.5786
Govorovo,55.659531,37.417392
Izmaylovo (Moscow Central Circle),55.7896,37.7434
Izmaylovskaya (Moscow Metro),55.7878,37.7814
Kakhovskaya (Moscow Metro),55.653,37.5983
Kaluzhskaya (Moscow Metro),55.6571,37.5405
Kaluzhskaya (closed),55.6584,37.5455
Kantemirovskaya (Moscow Metro),55.6358,37.6564
Kashirskaya,55.6551,37.6487
Khoroshyovo (Moscow Central Circle),55.7773,37.5071
