fold_1,fold_2,fold_3,fold_4,fold_5
2,8,0,6,1
7,10,9,11,3
21,14,12,15,4
25,19,20,16,5
41,23,22,17,13
48,24,33,18,26
53,38,36,28,27
60,42,39,32,29
64,63,43,34,30
66,70,44,35,31
67,72,49,47,37
79,80,51,50,40
83,82,55,54,45
84,85,73,57,46
87,98,77,58,52
88,105,78,59,56
90,115,81,62,61
91,139,86,65,68
92,153,89,69,71
93,160,96,74,75
95,161,97,76,94
109,169,103,99,101
110,188,104,100,108
118,195,106,102,127
121,197,112,107,151
124,242,113,111,166
125,284,114,116,167
126,296,119,117,168
129,309,120,141,181
131,316,122,142,189
133,317,123,144,200
136,328,128,152,203
137,341,130,154,213
138,381,132,162,222
140,385,134,164,223
147,396,135,175,225
148,398,143,176,234
149,411,145,178,240
155,413,146,182,241
156,431,150,193,243
157,463,159,196,244
158,464,165,201,245
163,476,172,206,247
170,501,174,208,249
171,507,183,210,250
173,517,184,215,252
177,543,190,217,255
179,554,191,227,258
180,561,194,230,261
185,565,202,233,264
186,572,204,235,266
187,573,205,237,274
192,582,207,238,277
198,608,211,239,291
199,612,218,248,301
209,613,219,251,302
212,614,220,253,304
214,615,226,254,307
216,617,228,263,310
221,621,229,267,312
224,630,231,271,332
232,631,246,273,339
236,632,256,278,343
257,639,259,283,360
260,642,265,285,374
262,644,270,286,376
268,655,272,292,391
269,663,280,294,395
275,669,288,295,402
276,671,293,299,405
279,672,297,300,409
281,677,298,303,414
282,703,305,306,422
287,709,320,321,423
289,754,324,327,432
290,763,325,340,439
308,767,326,342,441
311,771,334,345,455
313,791,335,346,456
314,802,336,347,457
315,806,337,350,460
318,809,338,354,466
319,810,344,357,468
322,812,348,362,473
323,815,351,368,474
329,818,353,370,475
330,820,356,373,479
331,821,358,375,480
333,837,361,377,481
349,854,363,378,483
352,855,364,379,484
355,856,365,380,486
359,857,367,384,487
366,859,371,387,488
369,863,372,389,489
382,865,388,392,491
383,867,404,394,493
386,879,406,397,498
390,881,407,399,500
393,889,408,400,502
403,890,410,401,503
415,894,412,419,504
417,895,416,424,508
418,898,420,446,509
427,900,421,453,516
429,938,425,454,519
433,944,426,458,522
434,945,428,459,523
436,946,430,462,529
443,950,435,465,536
449,957,437,467,538
450,969,438,469,541
451,972,440,470,546
452,975,442,471,548
482,981,444,477,550
492,987,445,478,551
496,990,447,490,555
499,1011,448,494,556
510,1013,461,497,562
511,1034,472,506,564
513,1036,485,512,566
524,1038,495,514,568
525,1051,505,518,580
526,1064,515,521,583
527,1066,520,530,584
528,1070,537,534,586
531,1084,547,539,599
532,1093,549,540,605
533,1109,552,544,609
535,1110,553,545,610
542,1117,557,560,611
559,1120,558,567,622
577,1122,563,570,623
578,1124,569,571,625
585,1126,574,581,637
589,1128,575,593,641
590,1130,576,594,645
596,1144,579,595,647
597,1155,587,603,653
598,1156,588,604,659
606,1165,591,618,660
616,1168,592,619,678
620,1170,600,626,684
624,1172,601,629,685
627,1173,602,635,686
628,1175,607,640,687
638,1178,633,667,696
646,1179,634,676,708
648,1187,636,689,713
649,1194,643,694,716
652,1195,650,695,718
656,1204,651,704,724
657,1205,654,705,725
662,1206,658,707,728
664,1210,661,714,729
665,1212,666,720,730
668,1215,675,758,731
670,1216,680,766,737
673,1218,682,768,738
674,1219,683,770,739
679,1222,690,790,742
681,1223,691,800,747
688,1224,692,801,748
697,1225,693,869,753
698,1226,700,876,755
699,1229,710,877,756
701,1232,715,882,761
702,1234,721,886,775
706,1236,722,888,776
711,1238,726,901,777
712,1240,727,903,778
717,1241,734,913,779
719,1243,736,924,784
723,1255,740,933,786
732,1263,741,939,787
733,1265,743,940,788
735,1273,744,951,792
745,1275,746,956,793
773,1278,749,959,795
774,1282,750,963,796
781,1284,751,964,797
782,1285,752,967,804
785,1287,757,971,808
803,1290,759,973,811
805,1297,760,977,813
807,1308,762,978,814
828,1309,764,985,816
844,1314,765,986,819
852,1316,769,993,822
860,1318,772,994,824
868,1319,780,1004,826
872,1326,783,1017,827
873,1332,789,1025,829
874,1336,794,1028,830
875,1339,798,1033,831
880,1341,799,1037,832
891,1343,817,1039,833
897,1344,823,1045,834
904,1345,825,1053,835
905,1348,836,1056,839
906,1350,838,1058,840
907,1352,845,1062,841
914,1355,878,1063,842
915,1357,884,1074,843
916,1358,887,1078,846
917,1359,892,1080,847
919,1360,893,1081,848
922,1361,896,1085,849
923,1368,902,1090,850
925,1369,908,1091,851
927,1370,909,1096,853
928,1372,910,1112,858
930,1375,911,1119,861
932,1377,918,1129,862
934,1378,920,1145,864
935,1380,921,1148,866
936,1381,926,1157,870
937,1383,931,1158,871
941,1384,942,1200,883
949,1385,947,1203,885
953,1389,958,1217,899
954,1390,960,1221,912
968,1392,961,1247,929
970,1393,965,1251,943
976,1395,979,1252,948
982,1396,980,1253,952
984,1397,983,1259,955
988,1398,992,1260,962
989,1399,996,1261,966
998,1400,1007,1280,974
999,1404,1008,1286,991
1003,1410,1010,1296,995
1005,1411,1014,1298,997
1006,1419,1015,1304,1000
1009,1421,1018,1312,1001
1012,1423,1019,1320,1002
1016,1425,1021,1321,1026
1020,1427,1022,1327,1027
1030,1428,1023,1330,1040
1031,1429,1024,1334,1041
1046,1433,1029,1340,1069
1048,1434,1032,1349,1071
1049,1435,1035,1353,1077
1055,1438,1042,1362,1079
1059,1443,1043,1363,1095
1061,1444,1044,1365,1098
1067,1445,1047,1366,1100
1068,1449,1050,1371,1101
1075,1452,1052,1373,1103
1083,1454,1054,1382,1105
1086,1455,1057,1401,1107
1097,1457,1060,1403,1125
1099,1458,1065,1405,1131
1102,1461,1072,1407,1138
1104,1462,1073,1408,1139
1111,1464,1076,1416,1140
1114,1466,1082,1426,1141
1121,1470,1087,1437,1142
1132,1473,1088,1446,1143
1150,1474,1089,1453,1169
1152,1475,1092,1469,1176
1153,1477,1094,1472,1183
1154,1478,1106,1490,1184
1160,1479,1108,1503,1185
1162,1480,1113,1508,1188
1163,1482,1115,1511,1190
1164,1483,1116,1515,1192
1171,1484,1118,1516,1201
1177,1485,1123,1527,1213
1181,1488,1127,1533,1214
1186,1489,1133,1543,1235
1193,1491,1134,1548,1258
1198,1494,1135,1567,1264
1208,1498,1136,1568,1277
1227,1499,1137,1569,1279
1233,1500,1146,1588,1283
1237,1501,1147,1590,1288
1248,1504,1149,1592,1313
1262,1505,1151,1605,1342
1267,1507,1159,1607,1354
1269,1510,1161,1611,1364
1271,1512,1166,1613,1374
1276,1514,1167,1614,1376
1300,1517,1174,1616,1379
1301,1518,1180,1617,1391
1302,1519,1182,1621,1406
1303,1521,1189,1641,1409
1306,1526,1191,1644,1412
1307,1528,1196,1646,1415
1310,1529,1197,1650,1417
1311,1530,1199,1654,1422
1315,1531,1202,1657,1431
1317,1534,1207,1660,1432
1323,1535,1209,1664,1441
1324,1537,1211,1668,1447
1325,1539,1220,1670,1448
1328,1540,1228,1672,1456
1333,1544,1230,1673,1459
1335,1549,1231,1679,1467
1337,1550,1239,1680,1487
1346,1551,1242,1683,1506
1351,1553,1244,1684,1619
1386,1555,1245,1685,1667
1387,1556,1246,1686,1695
1388,1558,1249,1693,1704
1402,1561,1250,1694,1715
1413,1563,1254,1699,1718
1420,1564,1256,1709,1729
1430,1574,1257,1713,1741
1436,1577,1266,1721,1747
1439,1580,1268,1722,1754
1440,1581,1270,1727,1763
1442,1583,1272,1728,1764
1463,1584,1274,1739,1765
1465,1594,1281,1743,1767
1471,1596,1289,1756,1773
1492,1599,1291,1758,1799
1493,1600,1292,1774,1802
1495,1601,1293,1780,1803
1502,1610,1294,1789,1809
1509,1623,1295,1793,1812
1524,1625,1299,1798,1816
1532,1627,1305,1804,1818
1538,1631,1322,1805,1829
1546,1632,1329,1806,1843
1554,1633,1331,1811,1847
1557,1636,1338,1814,1851
1566,1637,1347,1825,1857
1572,1638,1356,1826,1858
1575,1639,1367,1828,1860
1576,1640,1394,1835,1865
1578,1642,1414,1854,1868
1579,1651,1418,1859,1875
1582,1655,1424,1869,1879
1586,1666,1450,1880,1881
1589,1669,1451,1886,1882
1593,1671,1460,1888,1883
1595,1675,1468,1895,1889
1597,1676,1476,1897,1892
1603,1677,1481,1902,1893
1606,1678,1486,1903,1912
1608,1682,1496,1904,1914
1628,1689,1497,1909,1918
1629,1690,1513,1920,1919
1635,1691,1520,1926,1923
1643,1692,1522,1930,1928
1645,1696,1523,1932,1931
1647,1700,1525,1936,1938
1649,1705,1536,1939,1942
1652,1706,1541,1945,1943
1659,1707,1542,1947,1944
1662,1708,1545,1950,1951
1663,1711,1547,1953,1959
1665,1712,1552,1967,1961
1681,1717,1559,1969,1965
1687,1719,1560,1978,1971
1688,1720,1562,2002,1972
1697,1725,1565,2010,1975
1703,1726,1570,2021,1979
1710,1732,1571,2038,1980
1714,1733,1573,2043,1981
1716,1737,1585,2049,1983
1723,1740,1587,2073,1985
1724,1742,1591,2081,1986
1730,1746,1598,2082,1990
1731,1753,1602,2091,1991
1736,1759,1604,2103,1995
1738,1761,1609,2116,2001
1744,1762,1612,2120,2003
1750,1766,1615,2126,2004
1751,1769,1618,2130,2005
1752,1770,1620,2138,2009
1775,1777,1622,2149,2017
1776,1783,1624,2163,2020
1781,1784,1626,2164,2022
1782,1792,1630,2172,2023
1788,1794,1634,2173,2027
1790,1795,1648,2176,2028
1791,1797,1653,2181,2029
1800,1807,1656,2182,2030
1815,1808,1658,2186,2033
1819,1810,1661,2191,2034
1820,1813,1674,2196,2035
1821,1817,1698,2198,2037
1827,1822,1701,2199,2041
1834,1823,1702,2205,2044
1838,1830,1734,2218,2045
1849,1831,1735,2225,2046
1855,1832,1745,2230,2048
1861,1833,1748,2250,2050
1866,1840,1749,2253,2054
1872,1841,1755,2256,2058
1877,1845,1757,2260,2059
1878,1846,1760,2265,2065
1885,1848,1768,2270,2066
1899,1850,1771,2276,2068
1906,1852,1772,2277,2071
1915,1853,1778,2281,2074
1916,1856,1779,2285,2075
1925,1862,1785,2289,2079
1933,1863,1786,2291,2085
1934,1864,1787,2305,2089
1941,1867,1796,2311,2090
1956,1870,1801,2312,2102
1962,1871,1824,2316,2107
1963,1876,1836,2329,2121
1966,1884,1837,2333,2125
1968,1890,1839,2336,2135
1970,1891,1842,2339,2139
1974,1894,1844,2346,2140
1976,1896,1873,2357,2141
1982,1898,1874,2375,2150
1988,1900,1887,2379,2153
1992,1905,1901,2381,2155
2014,1907,1922,2390,2158
